ID;Type;Category;Title;Description;Intention;Example;Implementation
RF-06.1;Functional;Customization;Customization File Resolution;File resolved as input/customization_<name>.csv.;Predictable naming convention eliminates the need to configure each file path.;customization_color.csv;src/schedule/loader.py:L71-111 + src/core/models.py:L18-30
RF-06.2;Functional;Customization;Match by Task Name or Type;document_name is preferred, fallback to part_document_type.;Allows lookup either by specific name (granular) or generic type.;;src/schedule/loader.py:L215-217
RF-06.3;Functional;Customization;Duration Column Selection;Looks for <task_type_desc>_st, fallback to duration_st or std_duration.;Each task type can have its own duration column with fallback to standard fields.;drawing_st, part_model_st;src/schedule/loader.py:L213 + L221-222
RF-06.4;Functional;Customization;Customization as Descriptive Tag;The value (e.g., 'red') does not filter rows; duration is extracted from the row that matches by name/type.;Prevents the absence of a 'red' row from silently causing zero duration.;;src/schedule/loader.py:L193-231
RF-06.5;Functional;Customization;Missing File Tolerance;Missing CSV returns None and emits a warning; does not interrupt execution.;A customization type not yet implemented (status 'nok') should not block the simulation.;;src/schedule/loader.py:L208-209
RF-07;Functional;Customization;Maximum Duration Selection;When multiple customizations produce valid durations, the largest is applied.;The manufacturer must plan for the worst case of each task; underestimating duration results in real delays.;color->120min and length->240min => final duration: 240min;src/schedule/project.py:L355-381
RF-07.1;Functional;Customization;Collection of All Valid Durations;Non-None durations from all active customizations are gathered into a list.;Ensure no duration source is discarded before comparison.;;src/schedule/project.py:L330-353
RF-07.2;Functional;Customization;Applying max();The max() of the list is the final duration.;Simple, auditable rule without ambiguity.;;src/schedule/project.py:L358
RF-07.3;Functional;Customization;Maintaining Default Duration without Customization;Without customized durations, the std_duration from the template is kept.;Tasks not affected by customizations should not have their durations accidentally changed.;;src/schedule/project.py:L356 + L380-381
RF-08;Functional;Schedule;Exclusion of Zero-Duration Tasks;Tasks with duration 0 after customization are removed and their dependencies bridged.;A task with duration 0 is semantically non-existent for that product; removing it simplifies the graph.;;src/schedule/project.py:L359-410
RF-08.1;Functional;Schedule;Removal from Task List;Task with duration 0 is excluded from self.tasks.;Prevents the scheduler from allocating a resource slot for a task with no real work.;;src/schedule/project.py:L359-377
RF-08.2;Functional;Schedule;Dependency Bridging;Predecessors of the removed task now point directly to its successors.;Preserves the logical dependency chain even with the eliminated task, avoiding graph gaps.;;src/schedule/project.py:L387-401
RF-08.3;Functional;Schedule;Post-Removal Graph Reconstruction;All predecessors and successors_tasks lists are cleared and repopulated after removals.;Ensures object reference consistency; old pointers would cause utility engine bugs.;;src/schedule/project.py:L403-412
RF-09;Functional;Schedule;Date Calculation with Working Hours;init_date and end_date calculated respecting working hours, weekends, and holidays.;Manufacturing project planning needs real work dates, not simple calendar time.;;src/core/time_calc.py:L29-118
RF-09.1;Functional;Schedule;Configurable Working Hours;working_start_hour / working_end_hour defaults 8-16 (480 min/day).;Companies with shifts different from the 8-16 standard can adjust without modifying code.;;src/core/time_calc.py:L5-7 + src/schedule/project.py:L61-62
RF-09.2;Functional;Schedule;Pre-Work Time Advance;Time before the start of work is advanced to working_start_hour:00.;Tasks cannot start before working hours; normalizing the time avoids incorrect end calculations.;;src/core/time_calc.py:L62-65
RF-09.3;Functional;Schedule;Next Day Advance if Post-Work;Time after the end of work advances to the start of the next working day.;Avoids tasks being scheduled outside hours, which would produce impossible end_dates.;;src/core/time_calc.py:L66-72
RF-09.4;Functional;Schedule;Weekend Skipping;Days with weekday >= 5 are ignored in time advance.;Weekends are not working days in standard manufacturing; including them would underestimate real duration.;;src/core/time_calc.py:L21-22
RF-09.5;Functional;Schedule;Holiday Skipping;Dates in holidays.csv are treated as non-working days.;National/local holidays imply a shutdown; the schedule must reflect this to be realistic.;;src/core/time_calc.py:L23-25 + src/core/time_calc.py:L74-79
RF-09.6;Functional;Schedule;Progressive Daily Duration Distribution;Current day minutes are consumed first, then full days, then remaining minutes.;Exact algorithm maintaining minute precision without rounding to full days.;Task starts 3PM with 120min -> ends 9AM next working day;src/core/time_calc.py:L86-116
RF-09.7;Functional;Schedule;Zero Duration Special Case;duration_minutes=0 returns current_time without advance.;Zero-duration tasks (milestones) should not modify the scheduler's time pointer.;;src/core/time_calc.py:L58-59
RF-10;Functional;Schedule;Scheduling with Resource Constraints;Maximum of num_resources tasks executing in parallel, priority queue by earliest_start.;Real products have limited teams; ignoring resource constraints would produce unachievable schedules.;;src/schedule/engine.py:L81-171
RF-10.1;Functional;Schedule;Ready Tasks Priority Queue;heapq keeps ready tasks ordered by earliest_start_time.;Dispatch always chooses the task that can start earliest, maximizing resource utilization.;;src/schedule/engine.py:L93-104
RF-10.2;Functional;Schedule;Active Tasks Heap;active_tasks_finish_times tracks the finish_time of each running task.;Allows efficiently detecting when a resource slot becomes free without scanning the entire list.;;src/schedule/engine.py:L107-108
RF-10.3;Functional;Schedule;Event-Driven Time Advance;The loop advances to min(next start, next end of active task).;Event-driven: the scheduler only processes when something changes, avoiding unnecessary polling.;;src/schedule/engine.py:L111-119
RF-10.4;Functional;Schedule;Block when Resources Exhausted;If num_active == num_resources, waits for the next end before dispatching new tasks.;Without this block, the scheduler would ignore the resource constraint.;;src/schedule/engine.py:L116-117 + L148
RF-10.5;Functional;Schedule;init_date as Max of Predecessors and Event;actual_start = max(earliest_start_from_predecessors, current_event_time).;Ensures the task only starts after all predecessors are finished AND after there is a resource slot.;;src/schedule/engine.py:L156-161
RF-10.6;Functional;Schedule;earliest_start Propagation to Successors;At the end of each task, earliest_start for successors is updated; in_degree 0 releases the successor to the queue.;Correct implementation of CPM (Critical Path Method) logic with resource constraints.;;src/schedule/engine.py:L127-145
RF-10.7;Functional;Schedule;Safety Final Step;Tasks without dates at the end of the loop receive dates based on project_start.;Defense-in-depth against graph edge cases that might leave tasks unscheduled.;;src/schedule/engine.py:L167-171
RF-11;Functional;Schedule;Circular Dependency Detection;Kahn's algorithm detects cycles before scheduling; RuntimeError if a cycle is found.;A cycle in the graph makes scheduling impossible; detecting early avoids infinite loops in the engine.;;src/schedule/engine.py:L55-79
RF-11.1;Functional;Schedule;Kahn's Algorithm (in-degree);Traverses the graph removing nodes with in-degree 0 - if not all are visited, there is a cycle.;Classic O(V+E) algorithm for cycle detection in DAGs.;;src/schedule/engine.py:L56-76
RF-11.2;Functional;Schedule;RuntimeError with Task Count;The exception informs how many tasks were resolved vs. the total.;Facilitates diagnosis: the developer knows the extent of the cycle without manual graph inspection.;;src/schedule/engine.py:L77-79
RF-12;Functional;Schedule;Critical Path Calculation;Backward pass calculates the slack for each task - is_critical=True if slack==0.;The critical path determines the minimum project duration, identifying it allows focusing optimization efforts.;;src/schedule/engine.py:L173-220
RF-12.1;Functional;Schedule;project_end as max(end_date);Project completion is the latest end_date among all tasks.;Reference for the backward pass - without it, there's no way to calculate relative slacks.;;src/schedule/engine.py:L176
RF-12.2;Functional;Schedule;Terminal Task latest_end = project_end;Tasks without successors receive latest_end = project_end.;Terminal tasks are anchor points from which slacks are propagated.;;src/schedule/engine.py:L179-182
RF-12.3;Functional;Schedule;Backward Pass via out_degree;Graph traversed in reverse - latest_end propagated as min(latest_start of children).;The minimum ensures the predecessor cannot end later than what the children's earliest start requires.;;src/schedule/engine.py:L197-211
RF-12.4;Functional;Schedule;Slack Calculation in Minutes;slack = max(0, latest_end - early_finish) converted from timedelta to minutes.;Minutes unit is consistent with duration_minutes, facilitating comparisons.;;src/schedule/engine.py:L215-216
RF-12.5;Functional;Schedule;is_critical Flag;Tasks with slack==0 receive is_critical=True.;Boolean flag used by Gantt to render red arrows without reprocessing the graph.;;src/schedule/engine.py:L217
RF-12.6;Functional;Schedule;Final Sort by init_date;self.tasks sorted ascending by init_date after the backward pass.;Chronological order facilitates export to CSV and sequential rendering on the Gantt.;;src/schedule/engine.py:L219-220
RF-12.6a;Functional;Export;Critical Path CSV Export;Critical path tasks (is_critical=True / slack=0) exported to critical_path.csv.;Dedicated CSV allows managers to quickly review and share the project's critical path without filtering.;;src/export/csv_export.py:L95-123 + simulate_project.py:L47-49
RF-13;Functional;Schedule;Drawing Task Consolidation;Drawing tasks with the same base part_number are merged into a single task.;In practice, a part's drawing is done once - duplicating per variant artificially inflates the schedule.;;src/schedule/project.py:L245-315
RF-13.1;Functional;Schedule;Selection Criterion: type==drawing;Only tasks with type.description=='drawing' are candidates.;Other task types are variant-specific and should not be consolidated.;;src/schedule/project.py:L250-251
RF-13.2;Functional;Schedule;Exclusion of 7XXXX part_numbers;Drawings with base 7XXXX are not consolidated.;7XXXX part_numbers are milestone markers, not physical parts - consolidating them would distort the hierarchy.;;src/schedule/project.py:L251-253
RF-13.3;Functional;Schedule;Single Task Groups Not Consolidated;If only one drawing variant exists, there is no consolidation.;Consolidating a task with itself would generate an unnecessary replacement task.;;src/schedule/project.py:L258-259
RF-13.4;Functional;Schedule;Consolidated Task Attributes;Unique ID, base part_number, name 'Consolidated Drawing for XXXXX', duration=sum, init=min, end=max.;Accumulated duration and full time span are the truest representation of real drawing effort.;;src/schedule/project.py:L261-285
RF-13.5;Functional;Schedule;Phase 1: successors_ids Remapping;All successors_ids pointing to individual variants are updated to the consolidated ID.;Must occur before removal so that no pointers remain dangling.;;src/schedule/project.py:L289-297
RF-13.6;Functional;Schedule;Phase 2: Task Array Swap;Individual variants removed, consolidated task added.;Array mutation done in a separate phase to not interfere with Phase 1 traversal.;;src/schedule/project.py:L299-302
RF-13.7;Functional;Schedule;Phase 3: Full Graph Reconstruction;predecessors and successors_tasks cleared and repopulated for all tasks.;Ensures all object references are consistent after Phase 1 and 2 substitutions.;;src/schedule/project.py:L304-315
RF-14;Functional;Export;Task Export to CSV;All final tasks exported to exported_tasks.csv including Is Critical and Slack columns.;Provides an auditable artifact importable by external tools (Excel, BI) of the final schedule state.;;src/export/csv_export.py:L40-92
RF-14.1;Functional;Export;Fixed CSV Fields;Task ID, Part Number, Task Name, Task Type Description, Strategy, Duration (min), Start Date, End Date, Predecessors, Successors, Variant Name, Milestone ID, Is Critical, Slack (min).;Minimum set to track each task and reconstruct the dependency graph.;;src/export/csv_export.py:L57-78
RF-14.2;Functional;Export;Dynamic Customization Columns;One Customization_<key> column per key found in variant_customizations of any task.;Allows auditing which customizations were applied per variant without reprocessing the requirements JSON.;Customization_color, Customization_length;src/export/csv_export.py:L49-53 + L81-83
RF-14.3;Functional;Export;Blank Milestone ID for Consolidated;Tasks with strategy=='consolidated' have an empty Milestone ID in the CSV.;Consolidated tasks belong to multiple milestones - assigning a single one would be incorrect.;;src/export/csv_export.py:L74-78
RF-14.4;Functional;Export;YYYY-MM-DD HH:MM Date Format;init_date and end_date formatted as 'YYYY-MM-DD HH:MM'.;Ambiguity-safe ISO format readable by humans and importable by pandas/Excel without extra config.;;src/export/csv_export.py:L65-66
RF-15;Functional;Analysis;Resource Sensitivity Analysis;Simulates the project with 1 to N resources and generates a duration x resources graph.;Allows the manager to identify the point of diminishing returns in adding resources, optimizing cost vs. deadline.;;src/export/plot.py:L22-159
RF-15.1;Functional;Analysis;Configurable Resource Range;min_resources and max_resources passed as parameters, default 1-10.;Different projects have different relevant resource ranges; configurability avoids hardcoding.;;src/export/plot.py:L25-26
RF-15.2;Functional;Analysis;ProjectSchedule Base Reuse;A single instance is created and dates reset (None) for each iteration.;Avoid recreating the schedule from scratch in each iteration significantly reduces I/O and CPU time.;;src/export/plot.py:L46 + L63-70
RF-15.3;Functional;Analysis;Internal Output Suppression;redirect_stdout(os.devnull) suppresses prints from each loop iteration.;The loop runs N times - without suppression, the terminal would be flooded with repetitive output.;;src/export/plot.py:L62
RF-15.4;Functional;Analysis;Total Duration in Minutes;total_duration = max(end_date) - min(init_date) converted to minutes.;Minutes are more accurate than days for comparing small differences between resource scenarios.;;src/export/plot.py:L75
RF-15.5;Functional;Analysis;Exported Matplotlib Graph;resource_vs_duration.png with X-axis=resources, Y-axis=minutes, markers, dual-axis gain%, and grid.;Immediate visualization of the efficiency curve, faster to interpret than a table of numbers.;;src/export/plot.py:L85-159
RF-15.6;Functional;Analysis;Graceful Degradation without Matplotlib;If matplotlib is unavailable, raw data is printed to the terminal.;Headless environments or minimal setups should not be blocked by an optional visualization dependency.;;src/export/plot.py:L15-20
RF-16;Functional;Export;Mermaid Diagram Export;Flowcharts and Gantts in 3 levels of detail generated as .mmd files.;Mermaid diagrams are renderable in Markdown (GitHub, Notion, Obsidian) without extra tools.;;src/export/mermaid.py:L7-382
RF-16.1;Functional;Export;Full Flowchart (per Task);One node per task, subgraph per milestone, shape and color by type.;Granular view for detailed dependency analysis between individual tasks.;;src/export/mermaid.py:L30-64
RF-16.2;Functional;Export;Type Flowchart (per Task Type);One node per type within each milestone, edges between types.;Architectural view showing type flow without the noise of individual tasks.;;src/export/mermaid.py:L67-106
RF-16.3;Functional;Export;Milestone Flowchart (per Milestone);One node per milestone, edges represent inter-milestone dependencies.;High-level executive view for non-technical stakeholders.;;src/export/mermaid.py:L109-126
RF-16.4;Functional;Export;Full Gantt;One bar per task with real start and end dates.;Allows reviewing the complete schedule in any tool that renders Mermaid.;;src/export/mermaid.py:L157-191
RF-16.5;Functional;Export;Type Gantt;One bar per type with total span and accumulated duration.;Quickly identifies which task type consumes the most time in the project.;;src/export/mermaid.py:L195-247
RF-16.6;Functional;Export;milestone_type_summary Gantt;One section per milestone, types grouped, individual special tasks.;Balance between detail and synthesis: visible per milestone without each task's noise.;;src/export/mermaid.py:L251-335
RF-16.7;Functional;Export;Mermaid Duration Formatting;Duration as Xd Yh Zm, milestones as 0d.;Format required by Mermaid syntax - incorrect formatting would cause a parsing error.;;src/export/mermaid.py:L166-182
RF-17;Functional;Export;Self-Contained Interactive HTML Gantt;gantt_interactive.html generated with Vis.js via CDN - all data embedded as JSON.;A single HTML file can be shared without needing a server, facilitating distribution.;;src/export/gantt_interactive.py:L51-1354
RF-17.1;Functional;Export;JSON Embedded Data in HTML;Items, groups, milestone/type metadata, resource data, and links embedded as JS constants.;Self-contained: works offline and in any browser without external API calls.;;src/export/gantt_interactive.py:L302-309 + L966-976
RF-17.2;Functional;Export;Swim-lanes by Task Name;Rows = unique names formatted as 'BasePart - TaskName' sorted alphabetically.;Visually groups all instances of a task across different milestones into the same row.;;src/export/gantt_interactive.py:L102-114
RF-17.3;Functional;Export;Colors by Milestone;12-color palette with cycling, default #90A4AE color for tasks without a milestone.;Immediate visual distinction of bars belonging to each product/deliverable.;;src/export/gantt_interactive.py:L88-92
RF-17.4;Functional;Export;Configurable Title and Start Date;title and project_start_date parameters in export_interactive_gantt.;Generator function reusability for different projects without changing the source.;;src/export/gantt_interactive.py:L52-60
RF-18;Functional;Visualization;Interactive Gantt Filters;Sidebar with checkboxes for milestone and task type.;In projects with many milestones and types, the full view is dense - filters allow focusing on relevant subsets.;;src/export/gantt_interactive.py:L1206-1281
RF-18.1;Functional;Visualization;Milestone Filter;Checkbox with color per milestone, toggle all on/off buttons.;Allows comparing only selected milestones side-by-side on the same timeline.;;src/export/gantt_interactive.py:L1225-1243
RF-18.2;Functional;Visualization;Task Type Filter;Checkbox per type, toggle all on/off buttons.;Allows focusing on only 'release' tasks to review delivery points, for example.;;src/export/gantt_interactive.py:L1245-1263
RF-18.3;Functional;Visualization;Combined Filters (AND Logic);Item visible only if both milestone AND type are active.;AND logic avoids displaying partially filtered items and maintains visual consistency.;;src/export/gantt_interactive.py:L1207-1222
RF-18.4;Functional;Visualization;Visible Item Count in Header;'N tasks · M rows' badge dynamically updated after filtering.;Immediate user feedback on how many items are visible after applying filters.;;src/export/gantt_interactive.py:L987-988
RF-19;Functional;Visualization;SVG Dependency Arrows;Arrows overlaid on the timeline via absolute SVG - red for critical, gray for others.;Invisible dependencies make it hard to identify the critical path and impact of delays.;;src/export/gantt_interactive.py:L157-171 + L976
RF-19.1;Functional;Visualization;Red Critical Arrows;Links where both tasks have is_critical=True are rendered in red with a drop-shadow.;The critical path is the most actionable project info - must be immediately visible.;;src/export/gantt_interactive.py:L157-164
RF-19.2;Functional;Visualization;Gray Non-Critical Arrows;All other dependencies are gray.;Keeps the critical path highlighted while still providing full dependency context.;;src/export/gantt_interactive.py:L166-171
RF-19.3;Functional;Visualization;Non-Critical Arrow Toggle;'showAllTaskArrows' flag and state toggle controls gray arrow visibility.;In dense projects, many arrows clutter the view - the toggle allows clearing it without losing the critical path.;;src/export/gantt_interactive.py:L981
RF-19.4;Functional;Visualization;Auto-Redraw on Move/Zoom;Arrows are redrawn on Vis.js rangechanged and changed events.;Without redrawing, arrows would stay in place while bars move with pan/zoom.;;src/export/gantt_interactive.py:L1139-1157
RF-19.5;Functional;Visualization;Bezier Arrow Geometry;Arrows start from the vertical center of the source bar and end at the target bar center with a smooth curve.;Bezier curve avoids bar overlap and is more readable than straight lines.;;src/export/gantt_interactive.py:L157-171 (JS drawArrow)
RF-20;Functional;Visualization;Non-Working Day Highlighting;Weekends and holidays shaded on the timeline as background items.;Makes it immediate for the user why certain bars skip days, avoiding gap misinterpretation.;;src/export/gantt_interactive.py:L206-226
RF-20.1;Functional;Visualization;Non-Working Day Background;For each day in the project range, a type='background' item is added if it's a weekend or holiday.;Vis.js supports background items natively - the approach is idiomatic and performant.;;src/export/gantt_interactive.py:L215-225
RF-20.2;Functional;Visualization;CSS Styling (holiday-bg);Non-working day background color defined by CSS class.;Separates data from presentation - color can be changed without modifying the Python generator.;;src/export/gantt_interactive.py:L222-224 (className: 'holiday-bg')
RF-21;Functional;Visualization;Resource Histogram;5-minute frame bar chart below the timeline showing active task load over time via vis.Graph2d.;Allows visualizing allocation bottlenecks: peaks above the resource limit indicate potential conflict.;;src/export/gantt_interactive.py:L254-300 + L1025-1081
RF-21.1;Functional;Visualization;5-minute Frame Sampling;Tasks are mapped to 5-minute frames; overlap minutes are accumulated per frame.;Fine-grained 5-min resolution captures intra-day load spikes missed by event-only approaches.;;src/export/gantt_interactive.py:L264-291
RF-21.2;Functional;Visualization;Sequential Frame Processing;Frames sorted and accumulated into a resource_data JSON array.;Ordered processing ensures load never becomes negative or incorrect.;;src/export/gantt_interactive.py:L293-300
RF-21.3;Functional;Visualization;Vis.Graph2d Bar Chart;resource_data rendered as Graph2d bar chart (style:'bar') with 50px bar width.;Bar chart is more readable than a line for discrete 5-min buckets.;;src/export/gantt_interactive.py:L1025-1046
RF-21.4;Functional;Visualization;Y-axis Label with Resource Limit;Overlay HTML div added with 'Active Tasks (max: N)' label.;Without the explicit limit, the user would need external knowledge to interpret the graph.;;src/export/gantt_interactive.py:L1080
RF-21.5;Functional;Visualization;Resource Alloc % Graph;Second vis.Graph2d chart shows resource utilization as percentage of TOTAL_RESOURCES.;Immediate visual reference of where parallelism ceiling is exceeded.;;src/export/gantt_interactive.py:L1048-1068
RF-22;Functional;Export;In-Browser Data Export;JSON and CSV buttons export visible data via automatic download.;Allows the user to save a filtered schedule snapshot without server file system access.;;src/export/gantt_interactive.py:L866-868 (HTML buttons)
RF-22.1;Functional;Export;JSON Export;Visible items after filter exported as JSON array with .json download.;JSON preserves all structured metadata and is readable by any programming language.;;src/export/gantt_interactive.py:L1292-1302
RF-22.2;Functional;Export;CSV Export;ID, name, milestone, type, part, duration, dates, predecessors, and successors exported as .csv.;CSV is importable directly by Excel, facilitating analysis by non-technical users.;;src/export/gantt_interactive.py:L1304-1315
RF-22.3;Functional;Export;Embedded Metadata per Item;_* fields embedded in each JSON item during HTML generation.;Avoids re-export browser processing - all data for export is already in each item object.;;src/export/gantt_interactive.py:L186-198
RF-23;Functional;Visualization;Sidebar Summary and Requirements Panel;Sidebar displays project summary and raw project_config.json content.;Contextualizes the Gantt without opening other files - the viewer is self-sufficient.;;src/export/gantt_interactive.py:L311-345 + L897-945
RF-23.1;Functional;Visualization;Project Summary;Start, end, calendar duration, resource count and efficiency indices calculated during generation.;High-level metrics a manager checks first upon opening the Gantt.;;src/export/gantt_interactive.py:L311-345
RF-23.2;Functional;Visualization;Raw Requirements Content;project_config.json read and embedded in a monospace box in the HTML.;Allows verifying what settings generated the displayed schedule without leaving the page.;;src/export/gantt_interactive.py:L321-324
RF-24;Functional;Data;Customization Status Verification;customization_overview.csv updated with path and status columns before simulation.;Detecting missing customization files before running avoids silent duration=None errors.;;src/export/csv_export.py:L7-37
RF-24.1;Functional;Data;Path and Status Calculation;Verifies if input/customization_<name>.csv exists - status='ok' or 'nok'.;Clear separation between what is available and what is missing, traceable in the CSV itself.;;src/export/csv_export.py:L23-27
RF-24.2;Functional;Data;CSV Rewrite with Updated Columns;File rewritten every execution with updated path and status values.;Keeps the overview always synced with the real file system state.;;src/export/csv_export.py:L29-30
RF-24.3;Functional;Data;Unnamed Column Discard;Unnamed:* columns generated by pandas are removed before writing.;Pandas generates ghost columns if the CSV has extra delimiters - removing them avoids corruption.;;src/export/csv_export.py:L19-20
RF-25;Functional;Data;External Holiday Loading;holidays.csv with one date YYYY-MM-DD per line loaded into Set[date].;Externalizing holidays allows annual updates without code modification, and Set ensures O(1) lookup.;;src/schedule/loader.py:L46-68
RF-25.1;Functional;Data;YYYY-MM-DD Format per Line;One date per line without a header.;Minimalist format readable by humans and without complex parsing library dependency.;;src/schedule/loader.py:L59-62
RF-25.2;Functional;Data;Invalid Line Tolerance;Unparseable lines emit a warning and are ignored.;A poorly formatted holiday should not invalidate all others.;;src/schedule/loader.py:L63-64
